model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
73,73_trigger,,27,12.746725893998976,0.011150758251561107,1,8968
global,combine,,27,11.819733719225976,0.44603033006244425,40,8968
global,global_in_41_trigger,,27,12.30262314390647,0.4348795718108831,39,8968
global,global_in_73_trigger,,27,12.255863831151713,0.44603033006244425,40,8968
global,global_in_51_trigger,,27,12.271002935363606,0.4348795718108831,39,8968
global,global_in_74_trigger,,27,11.669280859532897,0.4683318465655665,42,8968
global,combine,,28,11.792555066329044,0.45718108831400533,41,8968
global,global_in_41_trigger,,28,12.275355937967973,0.44603033006244425,40,8968
global,global_in_73_trigger,,28,12.22850246157208,0.44603033006244425,40,8968
global,global_in_51_trigger,,28,12.24367879821614,0.44603033006244425,40,8968
global,global_in_74_trigger,,28,11.642567126693521,0.47948260481712757,43,8968
global,combine,,29,11.76475031731067,0.4683318465655665,42,8968
global,global_in_41_trigger,,29,12.247212611597421,0.423728813559322,38,8968
global,global_in_73_trigger,,29,12.200383966464639,0.44603033006244425,40,8968
global,global_in_51_trigger,,29,12.215486874440012,0.423728813559322,38,8968
global,global_in_74_trigger,,29,11.615141520640554,0.4906333630686887,44,8968
global,combine,,30,11.750398473373808,0.45718108831400533,41,8968
global,global_in_41_trigger,,30,12.23263871212499,0.412578055307761,37,8968
global,global_in_73_trigger,,30,12.185815829873404,0.44603033006244425,40,8968
global,global_in_51_trigger,,30,12.200839513120217,0.412578055307761,37,8968
global,global_in_74_trigger,,30,11.60100370810353,0.4906333630686887,44,8968
73,73_trigger,,31,14.09074829945492,0.03345227475468331,3,8968
global,combine,,31,11.752153559947631,0.45718108831400533,41,8968
global,global_in_41_trigger,,31,12.234181977509389,0.40142729705619984,36,8968
global,global_in_73_trigger,,31,12.187394493504575,0.44603033006244425,40,8968
global,global_in_51_trigger,,31,12.202389990188095,0.40142729705619984,36,8968
global,global_in_74_trigger,,31,11.603070069380257,0.4683318465655665,42,8968
41,41_trigger,,32,9.513351970437805,2.196699375557538,197,8968
global,combine,,32,11.754164736575042,0.45718108831400533,41,8968
global,global_in_41_trigger,,32,12.235118768982968,0.40142729705619984,36,8968
global,global_in_73_trigger,,32,12.188392790591047,0.44603033006244425,40,8968
global,global_in_51_trigger,,32,12.203493618518513,0.40142729705619984,36,8968
global,global_in_74_trigger,,32,11.605344950993288,0.4683318465655665,42,8968
global,combine,,33,11.746483555231427,0.4683318465655665,42,8968
global,global_in_41_trigger,,33,12.226662429074535,0.40142729705619984,36,8968
global,global_in_73_trigger,,33,12.17986369154264,0.44603033006244425,40,8968
